_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1c2b,ET,Addis Ababa Science & Technology University,,,,,,,,,
658ccbbb738d9d84019c1c2c,ET,Addis Ababa University,,,,,,,,,
658ccbbb738d9d84019c1c2d,NG,Adekunle Ajasin University,,,,,,,,,
658ccbbb738d9d84019c1c2e,NG,Adeleke University,,,,,,,,,
658ccbbb738d9d84019c1c2f,US,Adelphi University,,,,,,,,,
658ccbbb738d9d84019c1c30,NG,Adeyemi College of Education,,,,,,,,,
658ccbbb738d9d84019c1c31,IR,Adiban Higher Education Institue,,,,,,,,,
658ccbbb738d9d84019c1c32,ET,Adigrat University,,,,,,,,,
658ccbbb738d9d84019c1c33,US,Adler School of Professional Psychology,,,,,,,,,
658ccbbb738d9d84019c1c34,TR,Adnan Menderes University,,,,,,,,,
658ccbbb738d9d84019c1c35,US,Adrian College,,,,,,,,,
658ccbbb738d9d84019c1c36,MY,Advance Tertiary College,,,,,,,,,
658ccbbb738d9d84019c1c37,KE,Adventist University of Africa,,,,,,,,,
658ccbbb738d9d84019c1c38,RW,Adventist University of Central Africa,,,,,,,,,
658ccbbb738d9d84019c1c39,PH,Adventist University of the Philippines,,,,,,,,,
658ccbbb738d9d84019c1c3a,RU,Adygeja State University,,,,,,,,,
658ccbbb738d9d84019c1c3b,GR,Aegean University,,,,,,,,,
658ccbbb738d9d84019c1c3c,NG,Afe Babalola University,,,,,,,,,
658ccbbb738d9d84019c1c3d,IL,Afeka Tel Aviv Academic College of Engineering,,,,,,,,,
658ccbbb738d9d84019c1c3e,AF,Afghan University,,,,,,,,,
658ccbbb738d9d84019c1c3f,KE,Africa International University,,,,,,,,,
658ccbbb738d9d84019c1c40,KE,Africa Nazarene University,,,,,,,,,
658ccbbb738d9d84019c1c41,ZW,Africa University,,,,,,,,,
658ccbbb738d9d84019c1c42,NG,African University of Science and Technology,,,,,,,,,
658ccbbb738d9d84019c1c43,TZ,African Virtual University,,,,,,,,,
658ccbbb738d9d84019c1c44,TR,Afyon Kocatepe University,,,,,,,,,
658ccbbb738d9d84019c1c45,NO,Agder University College,,,,,,,,,
658ccbbb738d9d84019c1c46,PL,AGH University of Science and Technology,,,,,,,,,
658ccbbb738d9d84019c1c47,US,Agnes Scott College,,,,,,,,,
658ccbbb738d9d84019c1c48,GR,Agricultural University of Athens,,,,,,,,,
658ccbbb738d9d84019c1c49,PL,Agricultural University of Cracow,,,,,,,,,
658ccbbb738d9d84019c1c4a,GE,Agricultural University of Georgia,,,,,,,,,
658ccbbb738d9d84019c1c4b,PL,Agricultural University of Lublin,,,,,,,,,
658ccbbb738d9d84019c1c4c,NO,Agricultural University of Norway,,,,,,,,,
658ccbbb738d9d84019c1c4d,BG,Agricultural University of Plovdiv,,,,,,,,,
658ccbbb738d9d84019c1c4e,PL,Agricultural University of Poznan,,,,,,,,,
658ccbbb738d9d84019c1c4f,PL,Agricultural University of Szczecin,,,,,,,,,
658ccbbb738d9d84019c1c50,AL,Agricultural University of Tirane,,,,,,,,,
658ccbbb738d9d84019c1c51,PL,Agricultural University of Warsaw,,,,,,,,,
658ccbbb738d9d84019c1c52,PL,Agricultural University of Wroclaw,,,,,,,,,
658ccbbb738d9d84019c1c53,PL,Agricultural-Technical Academy in Olsztyn,,,,,,,,,
658ccbbb738d9d84019c1c54,NP,Agriculture and Forestry University,,,,,,,,,
658ccbbb738d9d84019c1c55,FR,AgroParisTech,,,,,,,,,
658ccbbb738d9d84019c1c56,SD,Ahfad University for Women,,,,,,,,,
658ccbbb738d9d84019c1c57,TR,Ahi Evran University,,,,,,,,,
658ccbbb738d9d84019c1c58,IQ,Ahlulbait International University,,,,,,,,,
658ccbbb738d9d84019c1c59,NG,Ahmadu Bello University,,,,,,,,,
658ccbbb738d9d84019c1c5a,IN,Ahmedabad University,,,,,,,,,
658ccbbb738d9d84019c1c5b,BD,Ahsanullah University of Science & Technology,,,,,,,,,
658ccbbb738d9d84019c1c5c,IR,Ahvaz University of Medical Sciences,,,,,,,,,
658ccbbb738d9d84019c1c5d,IR,Ahwaz Jondishapour University of Medical Sciences,,,,,,,,,
658ccbbb738d9d84019c1c5e,JP,Aichi Bunkyo University,,,,,,,,,
658ccbbb738d9d84019c1c5f,JP,Aichi Gakuin University,,,,,,,,,
658ccbbb738d9d84019c1c60,JP,Aichi Gakusen University,,,,,,,,,
658ccbbb738d9d84019c1c61,JP,Aichi Institute of Technology,,,,,,,,,
658ccbbb738d9d84019c1c62,JP,Aichi Medical University,,,,,,,,,
658ccbbb738d9d84019c1c63,JP,Aichi Prefectural University,,,,,,,,,
658ccbbb738d9d84019c1c64,JP,Aichi Prefectural University of Fine Arts & Music,,,,,,,,,
658ccbbb738d9d84019c1c65,JP,Aichi Sangyo University,,,,,,,,,
658ccbbb738d9d84019c1c66,JP,Aichi Shukutoku University,,,,,,,,,
658ccbbb738d9d84019c1c67,JP,Aichi University,,,,,,,,,
658ccbbb738d9d84019c1c68,JP,Aichi University of Education,,,,,,,,,
658ccbbb738d9d84019c1c69,JP,Aikoku Gakuen University,,,,,,,,,
658ccbbb738d9d84019c1c6a,MY,Aimst University,,,,,,,,,
658ccbbb738d9d84019c1c6b,EG,Ain Shams University,,,,,,,,,
658ccbbb738d9d84019c1c6c,US,Air Force Institute of Technology,,,,,,,,,
658ccbbb738d9d84019c1c6d,PK,Air University,,,,,,,,,
658ccbbb738d9d84019c1c6e,IN,AISECT University,,,,,,,,,
658ccbbb738d9d84019c1c6f,RO,AISTEDA,,,,,,,,,
658ccbbb738d9d84019c1c70,NG,Ajayi Crowther University,,,,,,,,,
658ccbbb738d9d84019c1c71,AE,Ajman University of Science & Technology,,,,,,,,,
658ccbbb738d9d84019c1c72,KR,Ajou University,,,,,,,,,
